margin_low,margin_high,bin_low,bin_hi,p0.01,p0.1,p1,p2,p3,p4,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p97,p98,p99,p99.9,p99.99
-20,-5.0000001,25.00000001,30,-29.15593726,-14.57796863,-14.19864511,-13.8193216,-13.58436949,-13.53625097,-13.48813245,-13.14441603,-11.43150539,-10.53225854,-9.787005199,-9.102177178,-6.368315729,-3.310216887,-1.431306496,1.772061001,6.479933266,10.39698571,12.99299608,13.32716856,13.93343064,14.74248476,16.0841498,20.50416449,20.9621063,21.99636503,24.11323375,27.46626472,30.81929568,61.63859136
-20,-5.0000001,30.00000001,35,-45.63006548,-22.81503274,-20.17760416,-17.54017557,-14.90274699,-14.19408887,-14.0479888,-9.314855738,-8.646444271,-8.382691723,-7.85811896,-2.456635158,-0.321483944,1.250580025,3.177170823,6.318917481,7.433776044,8.802390706,12.00294027,12.67085495,16.16031651,17.15077478,17.9456035,21.46260988,25.45589304,26.16128262,26.58612339,27.01096417,27.43580494,54.87160988
-20,-5.0000001,35.00000001,40,-45.57380374,-22.78690187,-20.37288944,-17.958877,-16.44060112,-15.8180618,-15.19552247,-8.052882612,-6.778068911,-5.426171915,-3.309318569,0.6720933013,3.009495526,3.419175887,4.376614742,5.594843759,7.299565918,7.60721511,8.871253266,11.83363801,12.54803205,13.11322985,14.63171556,17.63109526,20.30736217,22.84747267,23.7261148,24.21334381,24.70057282,49.40114564
-20,-5.0000001,40.00000001,45,-45.63006548,-22.81503274,-20.42983193,-18.40873331,-16.71292558,-15.04342958,-13.84596885,-10.80942757,-8.639498045,-6.696315588,-3.067518984,-1.503438602,-0.4682489879,1.130127297,2.456303812,2.904040404,4.04835742,4.859382575,5.437587245,6.064018351,7.395742604,8.513552872,11.32053711,15.16633745,18.54653414,18.97563861,21.26271865,23.22640915,24.67545474,49.35090948
-20,-5.0000001,45.00000001,50,-30.08677126,-15.04338563,-14.51369983,-13.84506806,-12.85994829,-11.72047554,-10.48238839,-7.240027671,-4.838748387,-2.531296594,0.2314078146,1.720188995,2.627780636,3.76229488,4.574292892,4.832223286,5.919022053,6.537461488,7.012097071,7.249792412,7.803019341,9.548576674,10.8385081,12.93035874,14.28593247,15.40305402,18.14688559,20.12208475,21.75983555,43.5196711
-20,-5.0000001,50.00000001,55,-25.7057149,-12.85285745,-12.59078821,-11.47756194,-10.96232861,-10.44360461,-10.11627752,-7.937253654,-6.099401799,-3.870510767,-2.059454546,-1.713340671,-1.174103505,-0.1387788012,0.5455530457,1.417186848,2.789342902,4.32658937,4.765078123,5.764880434,6.328448972,8.140235593,9.72965896,11.12751719,11.94465689,16.54416972,18.70193752,19.61402188,21.78214001,43.56428002
-20,-5.0000001,55.00000001,60,-27.29560172,-13.64780086,-12.10946275,-11.63192877,-11.48088293,-11.20211433,-10.64477198,-5.963395149,-4.458357602,-3.188890368,-1.680977272,-0.5771340839,-0.005088397813,0.6309169487,1.032731883,1.864955371,3.218160629,4.048504211,4.706532625,5.764573462,6.935174133,8.101406311,8.369467411,8.975420789,9.496924591,9.896747442,10.01748582,10.80639294,13.82111796,27.64223592
-20,-5.0000001,60.00000001,65,-19.70614339,-9.853071694,-8.654761007,-7.404493652,-6.636557838,-6.6100042,-6.5215817,-5.357366886,-4.222285029,-2.378395993,-0.9253376329,-0.2100196877,0.199657265,0.7911607771,1.538434186,2.256262303,2.75572574,3.242766408,3.716791307,4.639659027,5.250060344,5.669212143,6.9129776,8.040469329,10.9679729,11.41991541,12.18638787,12.92449675,13.12580818,26.25161636
-20,-5.0000001,65.00000001,70,-27.13043838,-13.56521919,-12.63595138,-12.26888639,-11.01714531,-8.769129771,-7.462240659,-5.640928604,-3.737120361,-2.323546602,-1.159299807,-0.4424878232,0.4432172266,0.9903691001,1.487994386,2.219171671,2.705878963,3.282946047,3.589361189,4.762878653,5.196876828,5.814826781,5.987008744,7.06628624,8.154802561,9.342226736,9.745452449,11.48577204,17.57075868,35.14151736
-20,-5.0000001,70.00000001,75,-25.20580402,-12.60290201,-10.49809414,-7.644332608,-7.212898121,-6.330561363,-5.798516355,-3.405058559,-2.070654482,-1.443533511,-0.810437484,-0.4726533844,0.103838343,0.2532751465,1.369516167,1.696475648,1.915343812,2.683175536,3.025203127,3.385980128,3.510828676,3.818661487,4.193715313,5.840413554,7.313025904,7.770048811,8.039151552,8.281598377,8.290125152,16.5802503
-20,-5.0000001,75.00000001,80,-14.42579624,-7.212898121,-6.424574496,-6.275796275,-6.124034143,-5.864877484,-5.150852429,-4.011580475,-3.267608995,-1.96221807,-1.673162488,-1.187485,-0.9970820512,-0.8374643076,-0.3521161983,-0.1451574124,-0.02104223369,0.2099990743,0.4711036912,0.9001187182,1.198047338,1.579355938,2.438645936,2.947818328,4.466211449,4.921125152,5.036120613,5.295940207,6.200012334,12.40002467
-20,-5.0000001,80.00000001,85,-14.47434304,-7.237171519,-6.417314813,-5.090277593,-4.325873302,-4.164098723,-3.84355164,-1.656358617,-0.8864536169,-0.6712826098,-0.4722276981,-0.1998344903,-0.02135438467,0.08174731307,0.2852277684,0.6422493124,0.7941442802,1.186329435,1.566840375,1.66131755,2.024939767,2.656993744,3.032690163,3.762096602,4.918048278,5.232437188,5.311335582,6.288788817,15.69632121,31.39264242
-20,-5.0000001,85.00000001,90,-49.79913924,-24.89956962,-5.657106235,-5.36696179,-5.016540681,-4.341506987,-3.662148384,-2.057664221,-1.253809485,-0.8721056269,-0.5786276333,-0.3724616358,-0.1373569594,-0.05181929401,-0.01520435092,-0.001839826135,0.06475925877,0.3487777183,0.4547909279,0.5547748708,0.7549249503,0.96084113,1.121962058,1.449855853,2.52814864,3.07156997,3.256856849,3.38964345,5.194291528,10.38858306
-20,-5.0000001,90.00000001,95,-7.117070348,-3.558535174,-3.191067533,-2.614007536,-2.139192079,-2.04554115,-2.02517017,-1.083087431,-0.8812285876,-0.6615665671,-0.4706265541,-0.2908202313,-0.2044343186,-0.1650865251,-0.1378526401,-0.1006326686,-0.05540267966,-0.01395018834,0.00220494363,0.08202701101,0.1918413782,0.4492974073,0.6446892577,0.7686293107,1.332980691,2.300560413,3.255703889,4.644533312,18.00242067,36.00484134
-20,-5.0000001,95.00000001,99.9999999,-13.9270434,-6.963521702,-3.929558324,-3.037925801,-1.92299597,-1.484612506,-1.316929855,-0.9639022508,-0.559047104,-0.4170277165,-0.2440484565,-0.1946542132,-0.1479345183,-0.09790853183,-0.06193704578,-0.04028371997,-0.02264098511,-0.01362892816,-0.00633074278,-0.0004121719307,0.00401617837,0.01820228097,0.1063406036,0.3080775569,1.002248914,2.256215854,4.104756658,12.7035171,18.00242067,36.00484134
-20,-5.0000001,99.99999991,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-20.00000001,0,5,-246.178829,-123.0894145,-65.56857385,-51.5784603,-45.83536287,-40.89442389,-40.18799591,-32.01588157,-27.89680507,-24.86886503,-22.41544639,-20.62939774,-18.53861935,-16.52627109,-13.45404992,-11.31833942,-8.503525853,-6.086104363,-4.383969016,-2.975543478,-1.16445392,2.717139517,8.605382852,12.51023937,19.91133833,23.95753477,26.05619162,31.85651035,44.21989233,88.43978466
-100,-20.00000001,5.00000001,10,-131.1492714,-65.57463568,-56.50976782,-42.26485556,-36.43746152,-33.73104348,-32.39484146,-26.14095863,-19.41136517,-16.6502595,-14.60499767,-13.41841567,-12.22942665,-11.06358673,-9.653837161,-8.062885026,-5.751407907,-4.722590679,-2.729161373,-1.345095318,0.9105616301,3.235511233,5.051289645,8.698937087,17.61636374,24.33848371,26.60954034,27.79914558,41.68429113,83.36858226
